The collision integrals have been fitted to the function

     f(T*) = exp( A + B*ln(T*) + C*ln(T*)^2 + D*ln(T*)^3 + E*ln(T*)^4 )
     
with an RMS error listed in the last column.

                            A               B               C               D              E            R
T*2(1,1)*Att          -7.9270465e-01   5.8867723e-01  -8.7607125e-02   9.3018130e-03  -4.1315208e-04  0.062
T*2(1,1)*Rep          -1.3980752e+00   8.0482070e-01  -9.4801647e-02   5.2812176e-03  -8.2652059e-05  0.051
T*2(2,2)*Att          -8.1145738e-01   7.0419264e-01  -1.2219724e-01   1.3234707e-02  -5.6994085e-04  0.045
T*2(2,2)*Rep          -1.1089170e+00   7.7460857e-01  -1.0168153e-01   6.7600878e-03  -1.5622212e-04  0.057
A*Att                 -1.8907314e-02   1.1539718e-01  -3.4459736e-02   3.9051788e-03  -1.5513314e-04  0.052
A*Rep                  2.8906871e-01  -3.0170249e-02  -6.9701558e-03   1.5032074e-03  -7.5200734e-05  0.008
B*Att                  2.8616335e-01  -4.8858107e-02   1.3372770e-03   5.6686310e-04  -4.4964175e-05  0.025
B*Rep                  3.2606973e-01  -2.3742462e-02  -9.6987749e-03   1.7799200e-03  -8.3938754e-05  0.013
C*Att                 -6.4672764e-01  -1.0737242e-01   1.7962157e-02  -1.8653043e-03   8.0134495e-05  0.011
C*Rep                 -5.0077127e-01  -1.0639836e-01  -1.1478149e-03   1.8355926e-03  -1.1830337e-04  0.013
E*Att                 -3.8922959e-01  -8.5334423e-02   8.7430000e-03   1.3038899e-04  -4.3583770e-05  0.047
E*Rep                 -3.6035379e-01  -7.3192205e-02   1.3517297e-03   1.1249000e-03  -8.3717249e-05  0.016
F*Att                 -5.1269011e-01  -1.6184890e-04   8.4938291e-03  -2.8416333e-03   1.9700964e-04  0.093
F*Rep                 -1.6610568e-01  -8.4658420e-02  -5.1885768e-03   2.1711071e-03  -1.2737940e-04  0.013
G*Att                 -4.2962645e-01  -8.2092404e-02   1.5834420e-02  -1.5811638e-03   6.0509719e-05  0.036
G*Rep                 -3.3907302e-01  -7.8583290e-02   8.4227764e-04   1.3395752e-03  -9.7107273e-05  0.019
T*2(1,4)*Att          -2.3064366e+00   3.9187956e-01  -5.0541034e-02   4.9996677e-03  -2.1443795e-04  0.029
T*2(1,4)*Rep          -2.6061028e+00   5.7602188e-01  -8.9813364e-02   8.4176238e-03  -3.1611961e-04  0.023
T*2(1,5)*Att          -2.6207402e+00   3.6889858e-01  -4.5983762e-02   4.4531740e-03  -1.8883719e-04  0.024
T*2(1,5)*Rep          -2.8756074e+00   5.3793608e-01  -8.6195947e-02   8.5216824e-03  -3.3719465e-04  0.019
T*2(2,4)*Att          -1.5271549e+00   5.5923597e-01  -1.0268876e-01   1.2409253e-02  -5.8149121e-04  0.081
T*2(2,4)*Rep          -1.7664116e+00   6.4675076e-01  -9.8071543e-02   8.6280547e-03  -3.0256691e-04  0.035

