T* T*2(1,1)*Att T*2(1,1)*Rep T*2(2,2)*Att T*2(2,2)*Rep A*Att A*Rep B*Att B*Rep C*Att C*Rep E*Att E*Rep F*Att F*Rep G*Att G*Rep T*2(1,4)*Att T*2(1,4)*Rep T*2(1,5)*Att T*2(1,5)*Rep T*2(2,4)*Att T*2(2,4)*Rep
0.1 0.0630 0.0224 0.0384 0.0304 0.6105 1.3555 1.4695 1.3646 0.7573 0.7486 0.8411 0.8146 0.6805 0.9721 0.8587 0.8373 0.0285 0.0110 0.0227 0.0093 0.0284 0.0208
0.2 0.1364 0.0511 0.0967 0.0697 0.7091 1.3631 1.4577 1.3865 0.6585 0.7104 0.8121 0.7836 0.6043 0.9455 0.7984 0.8054 0.0460 0.0221 0.0353 0.0181 0.0652 0.0445
0.3 0.1961 0.0797 0.1557 0.1086 0.7938 1.3630 1.4297 1.3946 0.6150 0.6858 0.7740 0.7634 0.5916 0.9257 0.7460 0.7841 0.0578 0.0316 0.0437 0.0255 0.0956 0.0661
0.4 0.2480 0.1072 0.2100 0.1459 0.8467 1.3605 1.3987 1.3976 0.5852 0.6675 0.7460 0.7483 0.5872 0.9097 0.7135 0.7681 0.0669 0.0399 0.0500 0.0317 0.1208 0.0856
0.6 0.3297 0.1584 0.3037 0.2144 0.9209 1.3532 1.3668 1.3972 0.5549 0.6411 0.7103 0.7265 0.5937 0.8847 0.6775 0.7445 0.0806 0.0536 0.0596 0.0419 0.1606 0.1193
0.8 0.3962 0.2050 0.3818 0.2757 0.9638 1.3453 1.3425 1.3933 0.5356 0.6221 0.6878 0.7108 0.5989 0.8654 0.6575 0.7275 0.0910 0.0648 0.0668 0.0500 0.1914 0.1476
1.0 0.4519 0.2474 0.4483 0.3310 0.9921 1.3377 1.3252 1.3884 0.5226 0.6075 0.6726 0.6988 0.6032 0.8497 0.6449 0.7142 0.0993 0.0742 0.0725 0.0567 0.2166 0.1719
2.0 0.6467 0.4177 0.6840 0.5460 1.0577 1.3073 1.2798 1.3627 0.4901 0.5632 0.6344 0.6628 0.6142 0.7990 0.6158 0.6744 0.1269 0.1065 0.0915 0.0792 0.3007 0.2587
3.0 0.7746 0.5442 0.8385 0.6999 1.0825 1.2859 1.2585 1.3420 0.4756 0.5391 0.6174 0.6436 0.6177 0.7693 0.6034 0.6531 0.1440 0.1268 0.1032 0.0930 0.3530 0.3154
4.0 0.8719 0.6455 0.9541 0.8197 1.0943 1.2698 1.2442 1.3255 0.4663 0.5230 0.6073 0.6311 0.6182 0.7489 0.5960 0.6391 0.1566 0.1416 0.1118 0.1030 0.3914 0.3574
6.0 1.0173 0.8026 1.1240 1.0006 1.1048 1.2468 1.2255 1.3011 0.4546 0.5022 0.5951 0.6152 0.6169 0.7219 0.5869 0.6215 0.1748 0.1627 0.1241 0.1172 0.4468 0.4182
8.0 1.1259 0.9230 1.2486 1.1385 1.1089 1.2306 1.2133 1.2833 0.4471 0.4886 0.5878 0.6052 0.6148 0.7040 0.5813 0.6103 0.1880 0.1777 0.1330 0.1272 0.4869 0.4620
10.0 1.2130 1.0207 1.3473 1.2435 1.1107 1.2183 1.2043 1.2697 0.4417 0.4789 0.5827 0.5981 0.6126 0.6910 0.5773 0.6025 0.1983 0.1894 0.1400 0.1349 0.5183 0.4962
20.0 1.4972 1.3431 1.6626 1.5892 1.1105 1.1832 1.1798 1.2295 0.4273 0.4529 0.5696 0.5797 0.6044 0.6561 0.5664 0.5827 0.2307 0.2254 0.1616 0.1589 0.6163 0.6027
30.0 1.6716 1.5412 1.8517 1.7959 1.1077 1.1653 1.1673 1.2083 0.4200 0.4404 0.5634 0.5714 0.5989 0.6394 0.5609 0.5737 0.2497 0.2462 0.1744 0.1727 0.6738 0.6649
40.0 1.7984 1.6847 1.9872 1.9438 1.1050 1.1538 1.1590 1.1945 0.4154 0.4326 0.5595 0.5663 0.5949 0.6290 0.5576 0.5683 0.2634 0.2610 0.1835 0.1825 0.7149 0.7089
60.0 1.9807 1.8898 2.1801 2.1531 1.1007 1.1394 1.1481 1.1770 0.4094 0.4230 0.5549 0.5600 0.5896 0.6163 0.5536 0.5615 0.2828 0.2817 0.1967 0.1963 0.7738 0.7707
80.0 2.1123 2.0368 2.3184 2.3019 1.0976 1.1301 1.1409 1.1659 0.4056 0.4170 0.5521 0.5561 0.5861 0.6082 0.5514 0.5574 0.2969 0.2964 0.2062 0.2061 0.8164 0.8145
100.0 2.2156 2.1515 2.4266 2.4171 1.0952 1.1235 1.1358 1.1580 0.4029 0.4128 0.5501 0.5533 0.5836 0.6024 0.5497 0.5543 0.3081 0.3078 0.2137 0.2136 0.8502 0.8483
200.0 2.5427 2.5087 2.7672 2.7713 1.0883 1.1047 1.1220 1.1365 0.3956 0.4013 0.5448 0.5456 0.5765 0.5861 0.5447 0.5453 0.3433 0.3429 0.2373 0.2370 0.9566 0.9534
300.0 2.7380 2.7168 2.9687 2.9747 1.0843 1.0949 1.1151 1.1254 0.3919 0.3955 0.5419 0.5419 0.5724 0.5780 0.5419 0.5415 0.3634 0.3633 0.2506 0.2506 1.0161 1.0149
400.0 2.8780 2.8635 3.1121 3.1177 1.0814 1.0888 1.1106 1.1181 0.3894 0.3920 0.5401 0.5398 0.5696 0.5731 0.5401 0.5389 0.3778 0.3778 0.2602 0.2602 1.0588 1.0583
600.0 3.0767 3.0687 3.3146 3.3185 1.0773 1.0814 1.1045 1.1089 0.3862 0.3876 0.5377 0.5373 0.5657 0.5675 0.5377 0.5371 0.3981 0.3981 0.2737 0.2737 1.1194 1.1193
800.0 3.2185 3.2135 3.4583 3.4610 1.0745 1.0770 1.1005 1.1033 0.3841 0.3849 0.5361 0.5358 0.5631 0.5641 0.5361 0.5357 0.4125 0.4125 0.2833 0.2833 1.1628 1.1624
1E+3 3.3289 3.3256 3.5699 3.5719 1.0724 1.0741 1.0975 1.0994 0.3825 0.3831 0.5350 0.5348 0.5612 0.5619 0.5350 0.5347 0.4236 0.4236 0.2908 0.2908 1.1959 1.1959
1E+4 4.4759 4.4763 4.7211 4.7211 1.0548 1.0547 1.0734 1.0733 0.3702 0.3702 0.5265 0.5265 0.5460 0.5460 0.5265 0.5265 0.5388 0.5388 0.3675 0.3675 1.5413 1.5413

