lnT*	lnT*2(1,1)*Att	lnT*2(1,1)*Rep	lnT*2(2,2)*Att	lnT*2(2,2)*Rep	lnA*Att	lnA*Rep	lnB*Att	lnB*Rep	lnC*Att	lnC*Rep	lnE*Att	lnE*Rep	lnF*Att	lnF*Rep	lnG*Att	lnG*Rep	lnT*2(1,4)*Att	lnT*2(1,4)*Rep	lnT*2(1,5)*Att	lnT*2(1,5)*Rep	lnT*2(2,4)*Att	lnT*2(2,4)*Rep
-2.3026	-2.7646	-3.7987	-3.2597	-3.4933	-0.4935	0.3042	0.3849	0.3109	-0.2780	-0.2896	-0.1730	-0.2051	-0.3849	-0.0283	-0.1523	-0.1776	-3.5579	-4.5099	-3.7854	-4.6777	-3.5614	-3.8728
-1.6094	-1.9922	-2.9740	-2.3361	-2.6636	-0.3438	0.3098	0.3769	0.3268	-0.4178	-0.3419	-0.2081	-0.2439	-0.5037	-0.0560	-0.2251	-0.2164	-3.0791	-3.8122	-3.3439	-4.0118	-2.7303	-3.1123
-1.2040	-1.6291	-2.5295	-1.8598	-2.2201	-0.2309	0.3097	0.3575	0.3326	-0.4861	-0.3772	-0.2562	-0.2700	-0.5249	-0.0772	-0.2930	-0.2432	-2.8508	-3.4546	-3.1304	-3.6691	-2.3476	-2.7166
-0.9163	-1.3943	-2.2331	-1.5606	-1.9248	-0.1664	0.3079	0.3355	0.3348	-0.5358	-0.4042	-0.2930	-0.2900	-0.5324	-0.0946	-0.3376	-0.2638	-2.7046	-3.2214	-2.9957	-3.4514	-2.1136	-2.4581
-0.5108	-1.1096	-1.8426	-1.1917	-1.5399	-0.0824	0.3025	0.3125	0.3345	-0.5890	-0.4446	-0.3421	-0.3195	-0.5214	-0.1225	-0.3893	-0.2950	-2.5183	-2.9262	-2.8201	-3.1725	-1.8288	-2.1261
-0.2231	-0.9258	-1.5847	-0.9629	-1.2884	-0.0369	0.2966	0.2945	0.3317	-0.6244	-0.4747	-0.3743	-0.3414	-0.5127	-0.1446	-0.4193	-0.3181	-2.3969	-2.7364	-2.7061	-2.9957	-1.6534	-1.9132
0.0000	-0.7943	-1.3967	-0.8023	-1.1056	-0.0079	0.2910	0.2816	0.3282	-0.6489	-0.4984	-0.3966	-0.3584	-0.5055	-0.1629	-0.4387	-0.3366	-2.3096	-2.6010	-2.6242	-2.8700	-1.5297	-1.7608
0.6931	-0.4359	-0.8730	-0.3798	-0.6051	0.0561	0.2680	0.2467	0.3095	-0.7131	-0.5741	-0.4551	-0.4113	-0.4874	-0.2244	-0.4848	-0.3939	-2.0644	-2.2396	-2.3914	-2.5358	-1.2016	-1.3521
1.0986	-0.2554	-0.6084	-0.1761	-0.3568	0.0793	0.2515	0.2299	0.2942	-0.7432	-0.6179	-0.4822	-0.4407	-0.4818	-0.2623	-0.5052	-0.4260	-1.9379	-2.0651	-2.2711	-2.3752	-1.0413	-1.1539
1.3863	-0.1371	-0.4377	-0.0470	-0.1988	0.0901	0.2389	0.2185	0.2818	-0.7629	-0.6482	-0.4987	-0.4603	-0.4809	-0.2891	-0.5175	-0.4477	-1.8541	-1.9547	-2.1910	-2.2730	-0.9380	-1.0289
