# A. B. Andriatis and I. A. Sokolova,
# Carbon dioxide transport and thermodynamic properties,
# Matematicheskoe Modelirovanie, 1995, 7(2):89-125

#T[K]  O        C        e-       O+       C+      O++
1750.  .289E-05 0.       0.       0.       0.       0.
2000.  .569E-04 0.       0.       0.       0.       0.
2125.  .193E-03 0.       0.       0.       0.       0.
2250.  .570E-03 0.       0.       0.       0.       0.
2375.  .149E-02 0.       0.       0.       0.       0.
2500.  .349E-02 0.       0.       0.       0.       0.
2625.  .746E-02 0.       0.       0.       0.       0.
2750.  .146E-01 0.       0.       0.       0.       0.
2875.  .265E-01 0.       0.       0.       0.       0.
3000.  .447E-01 0.       0.       0.       0.       0.
3125.  .706E-01 0.       0.       0.       0.       0.
3250.  .105E+00 0.       0.       0.       0.       0.
3375.  .147E+00 0.       0.       0.       0.       0.
3500.  .195E+00 0.       .174E-07 0.       0.       0.
3625.  .247E+00 0.       .339E-07 0.       0.       0.
3750.  .298E+00 .260E-07 .613E-07 0.       0.       0.
3875.  .345E+00 .697E-07 .104E-06 0.       0.       0.
4000.  .385E+00 .180E-06 .168E-06 0.       0.       0.
4500.  .470E+00 .573E-05 .857E-06 .125E-06 0.       0.
5000.  .492E+00 .105E-03 .415E-05 .117E-05 .844E-07 0.
5500.  .498E+00 .117E-02 .197E-04 .557E-05 .268E-05 0.
6000.  .503E+00 .861E-02 .898E-04 .168E-04 .388E-04 0.
6500.  .520E+00 .419E-01 .389E-03 .371E-04 .282E-03 0.
7000.  .561E+00 .123E+00 .136E-02 .778E-04 .118E-02 0.
7500.  .609E+00 .218E+00 .356E-02 .172E-03 .327E-02 0.
8000.  .637E+00 .276E+00 .740E-02 .381E-03 .690E-02 0.
8500.  .647E+00 .297E+00 .133E-01 .800E-03 .124E-01 0.
9000.  .646E+00 .298E+00 .219E-01 .158E-02 .203E-01 0.
9500.  .639E+00 .288E+00 .339E-01 .292E-02 .309E-01 0.
10000. .628E+00 .271E+00 .497E-01 .512E-02 .445E-01 0.
11000. .590E+00 .222E+00 .934E-01 .138E-01 .796E-01 0.
12000. .534E+00 .164E+00 .151E+00 .321E-01 .119E+00 0.
13000. .456E+00 .108E+00 .218E+00 .652E-01 .153E+00 0.
14000. .361E+00 .658E-01 .287E+00 .114E+00 .172E+00 0.
15000. .260E+00 .381E-01 .351E+00 .173E+00 .178E+00 .220E-07
16000. .170E+00 .216E-01 .404E+00 .227E+00 .177E+00 .158E-06
17000. .103E+00 .124E-01 .442E+00 .269E+00 .173E+00 .868E-06
18000. .603E-01 .730E-02 .466E+00 .295E+00 .170E+00 .386E-05
19000. .352E-01 .444E-02 .481E+00 .311E+00 .168E+00 .145E-04
20000. .209E-01 .279E-02 .489E+00 .320E+00 .166E+00 .476E-04
21000. .127E-01 .180E-02 .495E+00 .324E+00 .163E+00 .139E-03
22000. .801E-02 .118E-02 .499E+00 .325E+00 .158E+00 .368E-03
23000. .519E-02 .786E-03 .505E+00 .324E+00 .150E+00 .893E-03
24000. .346E-02 .520E-03 .511E+00 .320E+00 .138E+00 .200E-02
25000. .237E-02 .340E-03 .519E+00 .314E+00 .122E+00 .417E-02
26000. .166E-02 .218E-03 .530E+00 .304E+00 .104E+00 .814E-02
27000. .117E-02 .136E-03 .541E+00 .290E+00 .837E-01 .149E-01
28000. .837E-03 .833E-04 .554E+00 .271E+00 .649E-01 .257E-01
29000. .596E-03 .503E-04 .568E+00 .246E+00 .488E-01 .417E-01
30000. .418E-03 .301E-04 .583E+00 .215E+00 .359E-01 .630E-01
31000. .286E-03 .181E-04 .598E+00 .179E+00 .260E-01 .886E-01
32000. .190E-03 .109E-04 .613E+00 .142E+00 .187E-01 .116E+00
33000. .122E-03 .664E-05 .627E+00 .106E+00 .135E-01 .142E+00
34000. .763E-04 .410E-05 .638E+00 .765E-01 .977E-02 .165E+00
35000. .467E-04 .257E-05 .647E+00 .529E-01 .713E-02 .183E+00
36000. .283E-04 .163E-05 .653E+00 .356E-01 .524E-02 .196E+00
37000. .171E-04 .106E-05 .658E+00 .235E-01 .389E-02 .205E+00
38000. .104E-04 .696E-06 .661E+00 .153E-01 .291E-02 .211E+00
40000. .400E-05 .316E-06 .664E+00 .632E-02 .166E-02 .218E+00
