# A. B. Andriatis and I. A. Sokolova,
# Carbon dioxide transport and thermodynamic properties,
# Matematicheskoe Modelirovanie, 1995, 7(2):89-125
                                                                                                                      
#       T[K]  	O2		CO2		CO		O2+		CO2+	CO+
	1500.	.179E-03	.999E+00	.358E-03	.0              .0       .0
	1750.	.151E-02	.995E+00	.302E-02	.0              .0       .0
	2000.	.733E-02	.978E+00	.147E-01	.0              .0       .0
	2125.	.139E-01	.958E+00	.280E-01	.0              .0       .0
	2250.	.242E-01	.926E+00	.490E-01	.0              .0       .0
	2375.	.392E-01	.880E+00	.798E-01	.0              .0       .0
	2500.	.590E-01	.816E+00	.121E+00	.0              .0       .0
	2625.	.831E-01	.736E+00	.174E+00	.0              .0       .0
	2750.	.110E+00	.642E+00	.234E+00	.0              .0       .0
	2875.	.136E+00	.540E+00	.298E+00	.0              .0       .0
	3000.	.158E+00	.437E+00	.361E+00	.0              .0       .0
	3125.	.173E+00	.340E+00	.416E+00	.0              .0       .0
	3250.	.178E+00	.256E+00	.461E+00	.0              .0       .0
	3375.	.173E+00	.186E+00	.494E+00	.0		.0       .0
	3500.	.159E+00	.131E+00	.514E+00	.167E-07	.0       .0
	3625.	.138E+00	.904E-01	.524E+00	.323E-07	.0       .0
	3750.	.114E+00	.611E-01	.527E+00	.577E-07	.0       .0
	3875.	.897E-01	.408E-01	.524E+00	.962E-07	.0       .0
	4000.	.677E-01	.271E-01 	.520E+00	.150E-06	.0	 .0	
	4500.	.181E-01	.558E-02	.506E+00	.507E-06	.206E-07 .203E-06
	5000.	.500E-02	.144E-02	.502E+00	.828E-06	.504E-07 .202E-05
	5500.	.166E-02	.465E-03	.499E+00	.919E-06	.806E-07 .015E-04
	6000.	.662E-03	.180E-03	.487E+00	.821E-06	.961E-07 .333E-04
	6500.	.320E-03	.757E-04 	.437E+00	.663E-06	.888E-07 .689E-04
	7000.	.188E-03	.299E-04	.313E+00	.614E-06	.696E-07 .103E-03
	7500.	.122E-03	.968E-05	.166E+00  	.681E-06	.465E-07 .120E-03
	8000.	.798E-04	.264E-05	.712E-01	.802E-06	.268E-07 .115E-03	
	8500.	.520E-04	.696E-06	.286E-01	.942E-06	.146E-07 .101E-03
	9000.	.345E-04	.194E-06	.118E-01	.109E-05	.0	 .855E-04
