# L. V. Gurvich, I. V. Veyts, and C. B. Alcock
# Thermodynamic properties of indiviudal substances
# Hemisphere Publishing Corporation
 300	29.138	174.326	203.408  8.725
 400	29.317	182.696	211.810 11.646
 500	29.741	189.200	218.393 14.596
 600	30.362	194.534	223.868 17.600
 700	31.076	199.070	228.601 20.672
 800	31.795	203.029	232.798 23.816
 900	32.470	206.550	236.583 27.030
 1000	33.077	209.728	240.036 30.307
 1100	33.614	212.630	243.214 33.643
 1200	34.082	215.303	246.159 37.028
 1300	34.488	217.783	248.904 40.457
 1400	34.841	220.099	251.473 43.924
 1500	35.149	222.272	253.888 47.424
 1600	35.417	224.320	256.165 50.952
 1700	35.653	226.257	258.319 54.506
 1800	35.861	228.095	260.363 58.082
 1900	36.045	229.845	262.307 61.677
 2000	36.211	231.515	264.160 65.290
 2100	36.359	233.112	265.930 68.919
 2200	36.495	234.642	267.625 72.562
 2300	36.619	236.112	269.250 76.218
 2400	36.734	237.526	270.811 79.885
 2500	36.842	238.887	272.313 83.564
 2600	36.946	240.201	273.760 87.254
 2700	37.046	241.470	275.156 90.953
 2800	37.145	242.697	276.505 94.663
 2900	37.244	243.885	277.810 98.382
 3000	37.344	245.037	279.075 102.112
 3100	37.447	246.155	280.301 105.851
 3200	37.554	247.241	281.491 109.601
 3300	37.665	248.297	282.649 113.362
 3400	37.783	249.324	283.775 117.134
 3500	37.907	250.324	284.872 120.919
 3600	38.038	251.298	285.941 124.716
 3700	38.178	252.249	286.986 128.527
 3800	38.325	253.176	288.006 132.352
 3900	38.482	254.082	289.003 136.192
 4000	38.647	254.967	289.979 140.048
 4100	38.821	255.833	290.936 143.922
 4200	39.005	256.680	291.874 147.813
 4300	39.197	257.509	292.794 151.723
 4400	39.399	258.321	293.697 155.652
 4500	39.610	259.117	294.585 159.603
 4600	39.829	259.898	295.458 163.575
 4700	40.056	260.664	296.317 167.569
 4800	40.290	261.415	297.162 171.586
 4900	40.532	262.153	297.996 175.628
 5000	40.781	262.878	298.817 179.693
 5100	41.036	263.591	299.627 183.784
 5200	41.297	264.292	300.427 187.901
 5300	41.563	264.981	301.216 192.044
 5400	41.834	265.659	301.995 196.214
 5500	42.109	266.327	302.765 200.411
 5600	42.388	266.984	303.526 204.635
 5700	42.670	267.632	304.279 208.888
 5800	42.954	268.270	305.024 213.169
 5900	43.241	268.900	305.760 217.479
 6000	43.528	269.520	306.490 221.818
 6200	44.105	270.736	307.926	230.581
6400	44.681	271.920	309.336	239.459
6600	45.252	273.075	310.719	248.453
6800	45.814	274.202	312.079	257.560
7000	46.364	275.304	313.415	266.778
7200	46.897	276.381	314.728	276.104
7400	47.412	277.434	316.020	285.536
7600	47.904	278.467	317.291	295.068
7800	48.372	279.478	318.542	304.696
8000	48.814	280.470	319.772	314.415
8200	49.226	281.444	320.983	324.219
8400	49.607	282.399	322.173	334.103
8600	49.956	283.338	323.345	344.060
8800	50.272	284.260	324.497	354.084
9000	50.553	285.167	325.630	364.167
9200	50.798	286.059	326.744	374.302
9400	51.007	286.936	327.839	384.484
9600	51.180	287.799	328.914	394.703
9800	51.317	288.649	329.971	404.953
10000	51.419	289.486	331.009	415.227
10500	51.517	291.524	333.521	440.970
11000	51.407	293.488	335.916	466.710
11500	51.106	295.382	338.195	492.346
12000	50.637	297.212	340.361	517.788
12500	50.024	298.979	342.416	542.959
13000	49.294	300.687	344.364	567.792
13500	48.471	302.340	346.209	592.237
14000	47.578	303.938	347.956	616.252
14500	46.637	305.484	349.609	639.807
15000	45.666	306.982	351.174	662.884
15500	44.681	308.431	352.655	685.470
16000	43.694	309.835	354.058	707.564
16500	42.718	311.196	355.388	729.167
17000	41.759	312.514	356.649	750.285
17500	40.825	313.793	357.846	770.930
18000	39.920	315.032	358.983	791.115
18500	39.048	316.235	360.065	810.856
19000	38.210	317.402	361.095	830.169
19500	37.409	318.535	362.077	849.071
20000	36.644	319.635	363.014	867.583
