# L. V. Gurvich, I. V. Veyts, and C. B. Alcock
# Thermodynamic properties of indiviudal substances
# Hemisphere Publishing Corporation
 300	20.971	132.498	154.792  6.688
 400	20.889	138.861	160.812  8.780
 500	20.851	143.734	165.468 10.867
 600	20.831	147.683	169.268 12.951
 700	20.819	151.002	172.478 15.034
 800	20.811	153.864	175.258 17.115
 900	20.806	156.380	177.708 19.196
 1000	20.802	158.624	179.900 21.276
 1100	20.799	160.650	181.883 23.356
 1200	20.797	162.496	183.692 25.436
 1300	20.795	164.191	185.357 27.516
 1400	20.794	165.759	186.898 29.595
 1500	20.793	167.216	188.333 31.674
 1600	20.792	168.578	189.674 33.754
 1700	20.791	169.857	190.935 35.833
 1800	20.791	171.061	192.123 37.912
 1900	20.790	172.200	193.248 39.991
 2000	20.790	173.279	194.314 42.070
 2100	20.790	174.305	195.328 44.149
 2200	20.789	175.283	196.295 46.228
 2300	20.789	176.216	197.219 48.307
 2400	20.789	177.110	198.104 50.386
 2500	20.789	177.967	198.953 52.465
 2600	20.788	178.790	199.768 54.543
 2700	20.788	179.582	200.553 56.622
 2800	20.788	180.344	201.309 58.701
 2900	20.788	181.080	202.038 60.780
 3000	20.788	181.790	202.743 62.859
 3100	20.788	182.477	203.425 64.937
 3200	20.788	183.142	204.085 67.016
 3300	20.787	183.786	204.724 69.095
 3400	20.787	184.411	205.345 71.174
 3500	20.787	185.018	205.947 73.252
 3600	20.787	185.608	206.533 75.331
 3700	20.787	186.181	207.103 77.410
 3800	20.787	186.739	207.657 79.489
 3900	20.787	187.282	208.197 81.567
 4000	20.787	187.812	208.723 83.646
 4100	20.787	188.328	209.236 85.725
 4200	20.788	188.832	209.737 87.804
 4300	20.789	189.324	210.227 89.883
 4400	20.789	189.804	210.705 91.962
 4500	20.790	190.274	211.172 94.040
 4600	20.791	190.733	211.629 96.120
 4700	20.792	191.182	212.076 98.199
 4800	20.794	191.622	212.514 100.278
 4900	20.795	192.053	212.942 102.358
 5000	20.797	192.475	213.363 104.437
 5100	20.800	192.889	213.774 106.517
 5200	20.803	193.294	214.178 108.597
 5300	20.806	193.692	214.575 110.678
 5400	20.810	194.082	214.964 112.758
 5500	20.814	194.465	215.345 114.839
 5600	20.819	194.842	215.720 116.921
 5700	20.824	195.211	216.089 119.003
 5800	20.831	195.574	216.451 121.086
 5900	20.838	195.931	216.807 123.170
 6000	20.845	196.282	217.158 125.254
 6200	20.863	196.967	217.841	129.424
 6400	20.885	197.629	218.504	133.599
 6600	20.911	198.272	219.147	137.779
 6800	20.940	198.895	219.772	141.964
 7000	20.975	199.500	220.379	146.155
 7200	21.015	200.088	220.971	150.354
 7400	21.060	200.661	221.547	154.562
 7600	21.109	201.218	222.110	158.779
 7800	21.164	201.760	222.659	163.006
 8000	21.225	202.290	223.195	167.245
 8200	21.291	202.806	223.720	171.496
 8400	21.362	203.310	224.234	175.762
 8600	21.439	203.802	224.737	180.042
 8800	21.521	204.284	225.231	184.337
 9000	21.609	204.755	225.716	188.650
 9200	21.701	205.216	226.192	192.981
 9400	21.799	205.667	226.660	197.331
 9600	21.901	206.109	227.120	201.701
 9800	22.008	206.543	227.572	206.092
 10000	22.119	206.968	228.018	210.504
 10500	22.415	207.996	229.104	221.637
 11000	22.733	208.979	230.154	232.924
 11500	23.070	209.922	231.172	244.374
 12000	23.421	210.828	232.161	255.996
 12500	23.782	211.701	233.125	267.797
 13000	24.151	212.543	234.065	279.780
 13500	24.522	213.357	234.983	291.948
 14000	24.893	214.146	235.882	304.301
 14500	25.261	214.911	236.762	316.840
 15000	25.623	215.653	237.624	329.561
 15500	25.978	216.376	238.470	342.462
 16000	26.322	217.079	239.300	355.537
 16500	26.655	217.765	240.116	368.782
 17000	26.975	218.434	240.916	382.190
 17500	27.282	219.088	241.702	395.755
 18000	27.573	219.727	242.475	409.469
 18500	27.848	220.352	243.234	423.325
 19000	28.108	220.964	243.980	437.314
 19500	28.351	221.564	244.714	451.430
 20000	28.577	222.151	245.434	465.663
