# L. V. Gurvich, I. V. Veyts, and C. B. Alcock
# Thermodynamic properties of indiviudal substances
# Hemisphere Publishing Corporation
#100	20.786	71.223	92.009	2.079
#200	20.786	85.630	106.416	4.157
#298.15	20.786	93.930	114.716	6.197
300	20.786	94.058	114.844 6.236
400	20.786	100.038	120.824	8.314
500	20.786	104.676	125.462	10.393
600	20.786	108.466	129.252	12.472
700	20.786	111.670	132.456	14.550
800	20.786	114.446	135.232	16.629
900	20.786	116.894	137.680	18.707
1000	20.786	119.084	139.870	20.786
1100	20.786	121.065	141.851	22.865
1200	20.786	122.874	143.660	24.943
1300	20.786	124.538	145.324	27.022
1400	20.786	126.078	146.864	29.100
1500	20.786	127.512	148.298	31.179
1600	20.786	128.854	149.640	33.258
1700	20.786	130.114	150.900 35.336
1800	20.786	131.302	152.088	37.415
1900	20.786	132.426	153.212	39.493
2000	20.786	133.492	154.278	41.572
2100	20.786	134.506	155.292	43.651
2200	20.786	135.473	156.259	45.729
2300	20.786	136.397	157.183	47.808
2400	20.786	137.282	158.068	49.886
2500	20.786	138.130	158.916	51.965
2600	20.786	138.945	159.731	54.044
2700	20.786	139.730	160.516	56.122
2800	20.786	140.486	161.272	58.201
2900	20.786	141.215	162.001	60.279
3000	20.786	141.920	162.706	62.358
3100	20.786	142.602	163.388	64.437
3200	20.786	143.261	164.047	66.515
3300	20.786	143.901	164.687	68.594
3400	20.786	144.522	165.308	70.672
3500	20.786	145.124	165.910	72.751
3600	20.786	145.710	166.496	74.830
3700	20.786	146.279	167.065	76.908
3800	20.786	146.834	167.620	78.987
3900	20.786	147.373	168.159	81.065
4000	20.786	147.900	168.686	83.144
4100	20.786	148.413	169.199	85.223
4200	20.786	148.914	169.700	87.301
4300	20.786	149.403	170.189	89.380
4400	20.786	149.881	170.667	91.458
4500	20.786	150.348	171.134	93.537
4600	20.786	150.805	171.591	95.616
4700	20.786	151.252	172.038	97.694
4800	20.786	151.689	172.475	99.773
4900	20.786	152.118	172.904	101.852
5000	20.786	152.538	173.324	103.930
5100	20.786	152.950	173.736	106.009
5200	20.786	153.353	174.139	108.087
5300	20.786	153.749	174.535	110.166
5400	20.786	154.138	174.924	112.245
5500	20.786	154.519	175.305	114.323
5600	20.786	154.894	175.680	116.402
5700	20.786	155.262	176.048	118.480
5800	20.786	155.623	176.409	120.559
5900	20.786	155.978	176.764	122.638
6000	20.786	156.328	177.114	124.716
6200	20.786	157.009 177.795	128.873
6400	20.786	157.669	178.455	133.031
6600	20.786	158.319	179.095 137.188
6800	20.786	158.929	179.715	141.345
7000	20.786	159.532	180.318 145.502
7200	20.786	161.117 181.903	149.659
7400	20.786	160.687	181.473	153.817
7600	20.786	161.241	182.027	157.974
7800	20.786	161.781	182.567	162.131
8000	20.786	162.307	183.093	166.288
8200	20.786	162.821	183.607	170.445
8400	20.786	163.322	184.108	174.603
8600	20.786	163.811	184.597	178.760
8800	20.786	164.289	185.075 182.917
9000	20.786	164.756	185.542	187.074
9200	20.786	165.213	185.999	191.231
9400	20.786	165.660	186.446	195.389
9600	20.786	166.097	186.883	199.546
9800	20.786	166.526	187.312	203.703
10000	20.786	166.946	187.732	207.860
10500	20.786	167.960	188.746	218.253
11000	20.786	168.927	189.713	228.646
11500	20.786	169.851	190.637 239.039
12000	20.786	170.735	191.522	249.432
12500	20.786	171.584	192.370	259.825
13000	20.786	172.399	193.185	270.218
13500	20.786	173.184	193.970	280.611
14000	20.786	173.940	194.726	291.004
14500	20.786	174.669	195.455	301.397
15000	20.786	175.374	196.160	311.790
15500	20.786	176.055	196.841	322.183
16000	20.786	176.715	197.501	332.576
16500	20.786	177.355	198.141	342.969
17000	20.786	177.975	198.761	353.362
17500	20.786	178.578	199.364	363.755
18000	20.786	179.164	199.950	374.148
18500	20.786	179.733	200.519	384.541
19000	20.786	180.287	201.073	394.934
19500	20.786	180.827	201.613	405.327
20000	20.786	181.354	202.140	415.720
