# L. V. Gurvich, I. V. Veyts, and C. B. Alcock
# Thermodynamic properties of indiviudal substances
# Hemisphere Publishing Corporation
#	298.15	20.786	134.173	154.959	6.197
	300	20.786	134.301	155.087	6.236	
	400	20.786	140.281	161.067	8.314	
	500	20.786	144.919	165.705	10.393	
	600	20.786	148.709	169.495	12.472	
	700	20.786	151.913	172.699	14.550	
	800	20.786	154.689	175.475	16.629	
	900	20.786	157.137	177.923	18.707	
	1000	20.786	159.327	180.113	20.786
	1100	20.786	161.308	182.094	22.965
	1200	20.786	163.117	183.903	24.943
	1300	20.786	164.780	185.566	27.022	
	1400	20.786	166.321	187.107	29.100	
	1500	20.786	167.755	188.541	31.179	
	1600	20.786	169.096	189.882	33.258	
	1700	20.786	170.357	191.143	35.336	
	1800	20.786	171.545	192.331	37.415	
	1900	20.786	172.669	193.455	39.493	
	2000	20.786	173.735	194.521	41.572	
	2100	20.786	174.749	195.535	43.651	
	2200	20.786	175.716	196.502	45.729	
	2300	20.786	176.640	197.426	47.808	
	2400	20.786	177.524	198.310	49.886
	2500	20.786	178.373	199.159	51.965	
	2600	20.788	179.188	199.974	54.044	
	2700	20.789	179.973	200.759	56.123	
	2800	20.790	180.729	201.515	58.202	
	2900	20.792	181.458	202.245	60.281	
	3000	20.795	182.163	202.949	62.360	
	3100	20.799	182.844	203.631	64.440	
	3200	20.804	183.504	204.292	66.520	
	3300	20.810	184.144	204.932	68.601	
	3400	20.818	184.765	205.553	70.682
	3500	20.827	185.367	206.157	72.764	
	3600	20.839	185.953	206.744	74.848	
	3700	20.853	186.523	207.315	76.932	
	3800	20.869	187.077	207.871	79.018	
	3900	20.890	187.617	208.414	81.106
	4000	20.912	188.144	208.943	83.196	
	4100	20.938	188.657	209.460	85.289	
	4200	20.968	189.159	209.964	87.384	
	4300	21.001	189.648	210.458	89.482	
	4400	21.038	190.127	210.941	91.584	
	4500	21.079	190.595	211.415	93.690	
	4600	21.125	191.052	211.879	95.800	
	4700	21.175	191.500	212.333	97.915
	4800	21.229	191.939	212.780	100.036	
	4900	21.288	192.369	213.218	102.161	
	5000	21.351	192.790	213.649	104.293	
	5100	21.419	193.203	214.072	106.432	
	5200	21.491	193.609	214.489	108.577	
	5300	21.568	194.006	214.899	110.730	
	5400	21.650	194.397	215.303	112.891	
	5500	21.736	194.781	215.701	115.060	
	5600	21.826	195.158	216.093	117.238	
	5700	21.921	195.529	216.480	119.425	
	5800	22.020	195.893	216.862	121.623	
	5900	22.124	196.252	217.240	123.830	
	6000	22.231	196.605	217.613	126.047	
	6200 22.457 197.294 218.345 130.516	
6400 22.698 197.963 219.062 135.031
6600 22.951 198.613 219.764 139.596
6800 23.216 199.246 220.453 144.212
7000 23.490 199.861 221.130 148.883
7200 23.773 200.461 221.796 153.609
7400 24.062 201.047 222.451 158.392
7600 24.357 201.619 223.097 163.234
7800 24.654 202.177 223.733 168.135
8000 24.954 202.724 224.361 173.096
8200 25.254 203.260 224.981 178.117
8400 25.552 203.784 225.593 183.197
8600 25.848 204.298 226.198 188.338
8800 26.141 204.803 226.796 193.537
9000 26.428 205.298 227.386 198.793
9200 26.709 205.785 227.970 204.107	
9400 26.983 206.263 228.548 209.477     
9600 27.249 206.733 229.118 214.900	
9800 27.507 207.196 229.683 220.376
10000 27.755 207.651 230.241 225.902	
10500 28.331 208.759 231.610 239.926
11000 28.838 209.828 232.939 254.222	
11500 29.274 210.861 234.231 268.753	
12000 29.637 211.861 235.485 283.484	
12500 29.929 212.831 236.701 298.378	
13000 30.154 213.772 237.880 313.402
13500 30.315 214.686 239.021 328.522	
14000 30.418 215.575 240.125 343.707
14500 30.469 216.440 241.194 358.931
15000 30.472 217.282 242.227 374.168
15500 30.435 218.103 243.226 389.397	
16000 30.362 218.903 244.191 404.597
16500 30.259 219.684 245.124 419.754
17000 30.131 220.445 246.025 434.853
17500 29.981 221.189 246.896 449.881	
18000 29.814 221.915 247.739 464.830    
18500 29.634 222.624 248.553 479.693   
19000 29.442 223.316 249.341 494.462   
19500 29.243 223.994 250.103 509.134   
20000 29.039 224.656 250.841 523.705   
