# A. B. Andriatis and I. A. Sokolova, 
# Carbon dioxide transport and thermodynamic properties,
# Matematicheskoe Modelirovanie, 1995, 7(2):89-125

# T      rho      Cp     Cptot     htot       MM      Prtot
#[K]        [KJ.kg^-1.K^-1]      [J.kg^-1]             [-]
#     [kg.m^-3]     [KJ.kg^-1.K^-1]       [g.mol^-1]
 500. .107E+01 .101E+01 .101E+01 -.853E+07 .440E+02 .714E+00 
1000. .536E+00 .124E+01 .124E+01 -.796E+07 .440E+02 .723E+00
1500. .357E+00 .132E+01 .134E+01 -.732E+07 .440E+02 .723E+00 
1750. .306E+00 .135E+01 .149E+01 -.696E+07 .439E+02 .710E+00 
2000. .266E+00 .137E+01 .189E+01 -.655E+07 .437E+02 .682E+00 
2125. .249E+00 .137E+01 .225E+01 -.629E+07 .434E+02 .666E+00
2250. .232E+00 .138E+01 .276E+01 -.598E+07 .429E+02 .652E+00 
2375. .217E+00 .138E+01 .342E+01 -.560E+07 .422E+02 .643E+00 
2500. .201E+00 .138E+01 .421E+01 -.512E+07 .413E+02 .644E+00    
2625. .186E+00 .138E+01 .510E+01 -.454E+07 .400E+02 .644E+00 
2750. .171E+00 .138E+01 .602E+01 -.384E+07 .385E+02 .649E+00 
2875. .156E+00 .137E+01 .689E+01 -.303E+07 .369E+02 .654E+00
3000. .143E+00 .137E+01 .764E+01 -.212E+07 .351E+02 .660E+00 
3125. .130E+00 .136E+01 .820E+01 -.112E+07 .333E+02 .664E+00
3250. .118E+00 .135E+01 .859E+01 -.700E+05 .316E+02 .668E+00
3375. .108E+00 .135E+01 .880E+01  .102E+07 .299E+02 .673E+00 
3500. .988E-01 .135E+01 .881E+01  .213E+07 .284E+02 .684E+00 
3625. .909E-01 .134E+01 .860E+01  .322E+07 .270E+02 .701E+00
3750. .840E-01 .134E+01 .808E+01  .426E+07 .259E+02 .724E+00 
3875. .782E-01 .134E+01 .727E+01  .523E+07 .249E+02 .750E+00 
4000. .734E-01 .134E+01 .626E+01  .608E+07 .241E+02 .774E+00 
4500. .610E-01 .135E+01 .282E+01  .824E+07 .225E+02 .801E+00 
5000. .540E-01 .134E+01 .173E+01  .931E+07 .221E+02 .756E+00 
5500. .488E-01 .134E+01 .171E+01  .101E+08 .220E+02 .697E+00 
6000. .443E-01 .136E+01 .302E+01  .112E+08 .218E+02 .612E+00
6500. .395E-01 .140E+01 .779E+01  .137E+08 .211E+02 .599E+00 
7000. .335E-01 .146E+01 .151E+02  .195E+08 .192E+02 .690E+00 
7500. .277E-01 .152E+01 .164E+02  .278E+08 .171E+02 .817E+00 
8000. .238E-01 .156E+01 .110E+02  .347E+08 .156E+02 .881E+00 
8500. .214E-01 .159E+01 .669E+01  .390E+08 .149E+02 .855E+00 
9000. .197E-01 .161E+01 .505E+01  .419E+08 .145E+02 .809E+00 
9500. .183E-01 .163E+01 .491E+01  .443E+08 .142E+02 .796E+00
10000. .170E-01 .166E+01 .549E+01 .469E+08 .140E+02 .808E+00 
11000. .147E-01 .174E+01 .762E+01 .534E+08 .133E+02 .847E+00 
12000. .126E-01 .186E+01 .103E+02 .623E+08 .125E+02 .858E+00 
13000. .108E-01 .204E+01 .134E+02 .742E+08 .115E+02 .809E+00 
14000. .911E-02 .226E+01 .164E+02 .891E+08 .105E+02 .680E+00 
15000. .773E-02 .254E+01 .182E+02 .107E+09 .952E+01 .492E+00 
16000. .665E-02 .281E+01 .174E+02 .125E+09 .874E+01 .309E+00 
17000. .586E-02 .302E+01 .143E+02 .141E+09 .818E+01 .176E+00 
18000. .530E-02 .314E+01 .107E+02 .153E+09 .783E+01 .978E-01 
19000. .489E-02 .318E+01 .804E+01 .162E+09 .762E+01 .581E-01 
20000. .457E-02 .314E+01 .645E+01 .169E+09 .749E+01 .393E-01 
21000. .430E-02 .304E+01 .584E+01 .176E+09 .741E+01 .314E-01 
22000. .407E-02 .290E+01 .607E+01 .181E+09 .734E+01 .296E-01 
23000. .385E-02 .273E+01 .704E+01 .188E+09 .727E+01 .315E-01 
24000. .364E-02 .252E+01 .865E+01 .196E+09 .717E+01 .354E-01 
25000. .344E-02 .229E+01 .107E+02 .205E+09 .705E+01 .395E-01 
26000. .323E-02 .205E+01 .129E+02 .217E+09 .690E+01 .423E-01 
28000. .285E-02 .159E+01 .179E+02 .247E+09 .654E+01 .448E-01 
30000. .249E-02 .140E+01 .250E+02 .289E+09 .612E+01 .451E-01 
32000. .216E-02 .186E+01 .304E+02 .345E+09 .568E+01 .374E-01 
34000. .190E-02 .292E+01 .275E+02 .403E+09 .531E+01 .235E-01 
36000. .172E-02 .405E+01 .196E+02 .449E+09 .509E+01 .129E-01 
38000. .160E-02 .490E+01 .131E+02 .481E+09 .498E+01 .739E-02
40000. .150E-02 .545E+01 .945E+01 .503E+09 .493E+01 .493E-02 
