#R. A. Svehla
#Transport coefficients for the NASA Lewis chemical equilibrium program
#NASA TM 4647, Lewis Research Center, Cleveland, Ohio, April 1995
                                                                                
#T[K]  eta[kg.m^-1.s^-1]
             200    1.0070232e-05
             300    1.5014606e-05
             400     1.970255e-05
             500    2.4017078e-05
             600    2.7987173e-05
             700    3.1661977e-05
             800    3.5086879e-05
             900     3.829958e-05
            1000     4.133059e-05
            1100    4.4218835e-05
            1200    4.6997683e-05
            1300    4.9681669e-05
            1400    5.2282254e-05
            1500    5.4808679e-05
            1600    5.7268524e-05
            1700    5.9668108e-05
            1800    6.2012763e-05
            1900    6.4307048e-05
            2000    6.6554894e-05
            2100    6.8759722e-05
            2200    7.0924537e-05
            2300     7.305199e-05
            2400     7.514444e-05
            2500    7.7203998e-05
            2600    7.9232558e-05
            2700    8.1231835e-05
            2800    8.3203381e-05
            2900     8.514861e-05
            3000    8.7068816e-05
            3100    8.8965184e-05
            3200    9.0838805e-05
            3300    9.2690685e-05
            3400    9.4521755e-05
            3500    9.6332878e-05
            3600    9.8124858e-05
            3700    9.9898442e-05
            3800    0.00010165433
            3900    0.00010339317
            4000    0.00010511558
            4100    0.00010682213
            4200    0.00010851337
            4300     0.0001101898
            4400    0.00011185191
            4500    0.00011350014
            4600    0.00011513493
            4700    0.00011675668
            4800    0.00011836578
            4900     0.0001199626
            5000    0.00012154749

