# A. B. Andriatis and I. A. Sokolova,
# Carbon dioxide transport and thermodynamic properties,
# Matematicheskoe Modelirovanie, 1995, 7(2):89-125
                                                                                
#        T         mu            lambda          lambdaR        Lambdatot    lambdae         sigma             kTe
#       [K]                   [W.m^-1.K^-1]                   [W.m^-1.K^-1]              [10^-2.S.m^-1]
#          [10^5.kg.m^-1.s^-1]                [W.m^-1.K^-1]               [W.m^-1.K^-1]                        [-]
	500.	.243E+01	.173E-01	.000E+00	.343E-01        0.              0.              0.
	1000.	.417E+01	.298E-01	.204E-05	.714E-01        0.              0.              0.
	1500.	.554E+01	.395E-01	.215E-02	.103E+00        0.              0.              0.
	1750.	.613E+01	.438E-01	.147E-01	.128E+00        0.              0.              0.
	2000.	.670E+01	.482E-01	.596E-01	.186E+00        0.              0.              0.
	2125.	.698E+01	.506E-01	.104E+00	.236E+00        0.              0.              0. 
	2250.	.725E+01	.532E-01	.169E+00	.307E+00        0.              0.              0.
	2375.	.753E+01	.563E-01	.257E+00	.400E+00        0.              0.              0.
	2500.	.790E+01	.605E-01	.366E+00	.516E+00        0.              0.              0.
	2625.	.819E+01	.649E-01	.493E+00	.648E+00        0.              0.              0.
	2750.	.850E+01	.703E-01	.628E+00	.789E+00        0.              0.              0.
	2875.	.883E+01	.766E-01	.763E+00	.930E+00        0.              0.              0.
	3000.	.917E+01	.840E-01	.889E+00	.106E+01        0.              0.              0.
	3125.	.953E+01	.924E-01	.999E+00	.118E+01        0.              0.              0.
	3250.	.990E+01	.102E+00	.109E+01	.127E+01	.824E-07	.174E-04	-.161E-08
	3375.	.103E+02	.112E+00	.115E+01	.134E+01	.195E-06	.397E-04	-.370E-08
	3500.	.107E+02	.123E+00	.118E+01	.138E+01	.424E-06	.830E-04	-.777E-08
	3625.	.111E+02	.134E+00	.116E+01	.136E+01	.852E-06	.161E-03	-.151E-07
	3750.	.115E+02	.146E+00	.107E+01	.128E+01	.159E-05	.291E-03	-.273E-07
	3875.	.119E+02	.157E+00	.934E+00	.115E+01	.279E-05	.492E-03	-.463E-07
	4000.	.123E+02	.167E+00	.766E+00	.991E+00	.461E-05	.789E-03	-.744E-07
	4500.	.136E+02	.198E+00	.228E+00	.479E+00	.255E-04	.387E-02	-.375E-06
	5000.	.148E+02	.219E+00	.662E-01	.338E+00	.128E-03	.175E-01	-.178E-05
	5500.	.159E+02	.237E+00	.964E-01	.388E+00	.627E-03	.783E-01	-.800E-05
	6000.	.170E+02	.258E+00	.521E+00	.838E+00	.280E-02	.326E+00	-.310E-04
	6500.	.181E+02	.294E+00	.200E+01	.235E+01	.109E-01	.122E+01	-.812E-04
	7000.	.195E+02	.364E+00	.387E+01	.428E+01	.307E-01	.338E+01	-.226E-04
	7500.	.211E+02	.462E+00	.374E+01	.423E+01	.635E-01	.680E+01	.533E-03
	8000.	.225E+02	.562E+00	.224E+01	.282E+01	.108E+00	.110E+02	.199E-02
	8500.	.236E+02	.653E+00	.119E+01	.185E+01	.163E+00	.156E+02	.476E-02
	9000.	.245E+02	.737E+00	.786E+00	.153E+01	.227E+00	.205E+02	.932E-02
	9500.	.250E+02	.817E+00	.724E+00	.154E+01	.299E+00	.255E+02	.162E-01
	10000.	.252E+02	.893E+00	.820E+00	.171E+01	.378E+00	.305E+02	.257E-01
	11000.	.246E+02	.103E+01	.118E+01	.221E+01	.550E+00	.402E+02	.533E-01
	12000.	.224E+02	.115E+01	.155E+01	.270E+01	.736E+00	.492E+02	.911E-01
	13000.	.185E+02	.126E+01	.181E+01	.306E+01	.934E+00	.576E+02	.135E+0
	14000.	.137E+02	.137E+01	.192E+01	.329E+01	.114E+01	.654E+02	.180E+0
	15000.	.917E+01	.151E+01	.188E+01	.339E+01	.136E+01	.727E+02	.223E+0
	16000.	.589E+01	.168E+01	.164E+01	.332E+01	.158E+01	.795E+02	.258E+0
	17000.	.385E+01	.187E+01	.126E+01	.313E+01	.181E+01	.855E+02	.283E+0
	18000.	.270E+01	.209E+01	.872E+00	.296E+01	.204E+01	.918E+02	.299E+0
	19000.	.209E+01	.232E+01	.564E+00	.289E+01	.228E+01	.974E+02	.309E+0
	20000.	.178E+01	.257E+01	.356E+00	.293E+01	.254E+01	.103E+03	.315E+0
	21000.	.165E+01	.283E+01	.229E+00	.306E+01	.280E+01	.108E+03	.320E+0
	22000.	.159E+01	.310E+01	.156E+00	.326E+01	.307E+01	.113E+03	.324E+0
	23000.	.157E+01	.337E+01	.121E+00	.350E+01	.334E+01	.116E+03	.330E+0
	24000.	.154E+01	.365E+01	.110E+00	.376E+01	.361E+01	.119E+03	.338E+0
	25000.	.149E+01	.391E+01	.118E+00	.403E+01	.388E+01	.121E+03	.349E+0
	26000.	.142E+01	.417E+01	.137E+00	.431E+01	.414E+01	.122E+03	.362E+0
	27000.	.133E+01	.443E+01	.163E+00	.460E+01	.441E+01	.123E+03	.377E+0
	28000.	.123E+01	.470E+01	.195E+00	.489E+01	.467E+01	.123E+03	.393E+0
	29000.	.111E+01	.496E+01	.232E+00	.519E+01	.494E+01	.123E+03	.410E+0
	30000.	.993E+00	.523E+01	.273E+00	.550E+01	.521E+01	.123E+03	.428E+0
